wallet,collection,level_2,days_held
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,avg_days,56.869
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,max_days,56.869
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,tokens,2.0
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,min_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,p50_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,avg_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,max_days,1502.864
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,tokens,2.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,min_days,1304.011
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,p50_days,1381.0459999999998
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,avg_days,1381.0459999999998
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,max_days,1458.081
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,tokens,1.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,min_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,p50_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,avg_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,max_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,tokens,4.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,min_days,790.823
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,p50_days,790.823
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,avg_days,790.823
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,max_days,790.823
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Babies,tokens,1.0
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Babies,min_days,1289.736
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Babies,p50_days,1289.736
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Babies,avg_days,1289.736
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Babies,max_days,1289.736
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Genkai,tokens,1.0
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Genkai,min_days,790.813
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Genkai,p50_days,790.813
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Genkai,avg_days,790.813
0x01b15e113560d5d9877c75a235a05f04447b625b,CyberKongz Genkai,max_days,790.813
0x01b30c25733d1b4a3f4ff809816706e54393478e,CyberKongz VX,tokens,1.0
0x01b30c25733d1b4a3f4ff809816706e54393478e,CyberKongz VX,min_days,1469.571
0x01b30c25733d1b4a3f4ff809816706e54393478e,CyberKongz VX,p50_days,1469.571
0x01b30c25733d1b4a3f4ff809816706e54393478e,CyberKongz VX,avg_days,1469.571
0x01b30c25733d1b4a3f4ff809816706e54393478e,CyberKongz VX,max_days,1469.571
0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1,CyberKongz VX,tokens,2.0
0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1,CyberKongz VX,min_days,1423.022
0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1,CyberKongz VX,p50_days,1441.9595
0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1,CyberKongz VX,avg_days,1441.9595
0x01b49407995ee625eeb46e7ee4d1a71cfcb9afa1,CyberKongz VX,max_days,1460.897
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Babies,tokens,1.0
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Babies,min_days,1151.442
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Babies,p50_days,1151.442
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Babies,avg_days,1151.442
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Babies,max_days,1151.442
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Genkai,tokens,1.0
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Genkai,min_days,790.808
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Genkai,p50_days,790.808
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Genkai,avg_days,790.808
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz Genkai,max_days,790.808
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz VX,tokens,1.0
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz VX,min_days,1151.446
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz VX,p50_days,1151.446
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz VX,avg_days,1151.446
0x01c1e70ab9917ab60107efee254db734409ced9c,CyberKongz VX,max_days,1151.446
